Student_ID,Name,Email,Phone,Skills,Qualification,Location_Preferences,Sector_Interests,Social_Category,Past_Internship_Participation,Preferred_Job_Type,Experience
S00001,Crystal Evans,nkennedy@example.com,1341762331,"['Civil Planning', 'Branding', 'Ethereum', 'UI/UX', 'Blockchain', 'Product Management', 'Adobe XD', 'JavaScript', 'Machine Learning']",B.Sc Physics,"['Chennai', 'Lucknow', 'Kolkata']",['UI/UX'],EWS,False,Part-time,29
S00002,Melissa Rosales,cindy27@example.net,0721077627,"['Robotics', 'Excel']",B.Tech IT,"['Jaipur', 'Chennai', 'Bangalore']","['Data Science', 'Cybersecurity', 'Blockchain']",OBC,True,Part-time,6
S00003,Mrs. Amy Warner,oedwards@example.org,5763616426,"['IT Support', 'Business Intelligence', 'Motion Graphics']",B.Sc Physics,"['Remote', 'Mumbai', 'Kolkata']",['Cybersecurity'],General,True,Part-time,20
S00004,Aaron Gill,kthompson@example.net,1395393952,"['Kubernetes', 'SQL', 'UI/UX', 'Architecture', 'IT Support']",MCA,"['Lucknow', 'Chennai', 'Mumbai', 'Hyderabad']","['Blockchain', 'Software']",ST,True,Full-time,18
S00005,Joan Gamble,stephanie53@example.org,7327294334,"['Excel', 'Project Management', 'Equity Research', 'Machine Learning', 'Architecture', 'Game Development']",B.Tech CSE,"['Pune', 'Bangalore', 'Hyderabad', 'Kolkata']","['AI/ML', 'Blockchain']",General,True,Full-time,7
S00006,Michael Mcneil,donaldbrooks@example.net,4706661192,"['NGO Work', 'Content Writing', 'Python', 'PowerBI', 'Data Analysis', 'Design', 'NLP', 'SQL', 'Sketch']",M.Tech CS,"['Kolkata', 'Remote', 'Bangalore', 'Delhi']","['UI/UX', 'AI/ML', 'Data Science']",General,False,Remote,33
S00007,Ryan West,ntaylor@example.net,0007104018,"['Investment Banking', 'SEO', 'Marketing Research', 'Renewable Energy', 'React']",B.Tech ME,"['Chennai', 'Kolkata']","['Cloud Computing', 'Data Science', 'UI/UX']",General,False,Full-time,29
S00008,Kevin Hull,lynndickson@example.org,3865402916,"['Tourism', 'Customer Support', 'Social Media', 'Cybersecurity']",B.Tech ECE,"['Chennai', 'Mumbai', 'Kolkata']",['UI/UX'],ST,True,Part-time,18
S00009,Justin Mckinney,xtorres@example.com,0150033744,"['Cybersecurity', 'NLP', 'Photography', 'Fashion Design', 'NGO Work']",B.Tech CSE,"['Remote', 'Mumbai', 'Hyderabad']",['Cloud Computing'],ST,False,Internship,32
S00010,William Wilson,cheryl50@example.org,0390671912,"['Robotics', 'Branding', 'Computer Vision', 'Figma', 'Cybersecurity']",B.Tech CSE,"['Mumbai', 'Chennai']","['Blockchain', 'IoT', 'Cybersecurity']",OBC,True,Part-time,6
S00011,Kevin Turner,abigail27@example.com,6800477692,"['Recruitment', 'UI Design', 'Taxation', 'Product Management']",MCA,['Lucknow'],['Data Science'],SC,False,Part-time,2
S00012,Marcus Yates,travismathis@example.com,3382640241,"['Project Management', 'Branding', 'Excel', 'Actuarial', 'NLP']",B.Tech ME,"['Jaipur', 'Chennai']","['UI/UX', 'Cloud Computing', 'Blockchain']",EWS,True,Part-time,29
S00013,James Tran,adriansims@example.org,3041804522,"['Cybersecurity', 'Video Production', 'AWS', 'Blockchain']",M.Tech CS,['Delhi'],"['Software', 'IoT']",General,True,Internship,3
S00014,Zachary Espinoza,smithdonna@example.net,8995682886,"['SQL', 'Renewable Energy', 'Figma']",B.Tech IT,['Mumbai'],['Blockchain'],OBC,True,Remote,15
S00015,Richard Whitaker,rachel34@example.org,2195761372,"['Machine Learning', 'JavaScript', 'Ethereum', 'Hospitality', 'Branding', 'Blockchain', 'Adobe XD', 'Product Management']",B.Tech ECE,"['Kolkata', 'Chennai', 'Mumbai', 'Lucknow']",['Cybersecurity'],General,True,Part-time,26
S00016,Sierra Bell,kallen@example.net,8252022185,"['UI/UX', 'SQL', 'Sustainability', 'Docker', 'Blockchain']",B.Tech ECE,"['Jaipur', 'Chennai', 'Lucknow']",['Software'],General,True,Full-time,10
S00017,Cynthia Huffman,michaellewis@example.com,5847314627,"['Hospitality', 'AWS', 'Ethereum', 'Cloud Security', 'UX Research', 'Investment Banking', 'Docker', 'Blockchain']",B.Tech CSE,['Hyderabad'],"['AI/ML', 'Data Science']",EWS,False,Part-time,23
S00018,David Ball,castrovirginia@example.com,8492575636,"['NGO Work', 'Python', 'Content Writing', 'NLP', 'Design', 'PowerBI', 'Sketch', 'SQL', 'Data Analysis']",B.Tech IT,"['Mumbai', 'Kolkata']","['Software', 'AI/ML']",SC,True,Full-time,4
S00019,Monica Preston,denise41@example.com,3493257925,"['UX Research', 'Docker', 'Sustainability', 'Documentation', 'Ethereum']",M.Tech CS,"['Bangalore', 'Lucknow', 'Pune', 'Kolkata']",['Cybersecurity'],SC,True,Remote,13
S00020,Alexander Russell,brianfrank@example.org,9045351911,"['Fashion Design', 'Kubernetes', 'Helpdesk', 'Data Analysis']",B.Sc Physics,['Jaipur'],"['Cybersecurity', 'UI/UX']",General,False,Part-time,33
S00021,Ethan Hawkins,angela21@example.com,4455197866,"['Product Management', 'Video Editing', 'Figma']",B.Sc IT,"['Bangalore', 'Pune']","['Blockchain', 'Finance', 'Data Science']",General,True,Internship,20
S00022,Julia Colon,edwardsmith@example.org,1483183498,"['Technical Writing', 'Hospitality', 'Government Affairs', 'SEO']",B.Tech ME,['Kolkata'],['AI/ML'],OBC,True,Part-time,18
S00023,Anna Hansen,mariahill@example.org,7222337391,"['PowerBI', 'Investment Banking', 'Design', 'JavaScript']",B.Tech ME,['Kolkata'],['AI/ML'],ST,True,Part-time,5
S00024,Katherine Sandoval,daniel50@example.org,0017427631,"['Sketch', 'UI Design', 'Smart Contracts', 'UI/UX']",B.Tech ECE,"['Chennai', 'Remote']","['Web Development', 'Blockchain', 'Cybersecurity']",OBC,False,Full-time,31
S00025,Debra Murphy,kimthomas@example.org,6203692445,"['Equity Research', 'Robotics', 'Linux', 'Analytics', 'Motion Graphics', 'Finance', 'Blockchain', 'Ethereum']",B.Tech IT,['Bangalore'],"['UI/UX', 'IoT', 'AI/ML']",ST,True,Full-time,10
S00026,Brooke Silva,trevor66@example.org,5931259459,"['Interior Design', 'Adobe XD', 'Accounting']",B.Sc Physics,['Bangalore'],"['UI/UX', 'AI/ML']",EWS,False,Part-time,35
S00027,Joshua Ashley,john56@example.net,5711190371,"['Content Writing', 'PowerBI', 'Employee Engagement', 'React', 'Marketing Research', 'Data Analysis']",B.Sc Physics,['Chennai'],['Software'],OBC,False,Full-time,1
S00028,Steven Hayes,robertgonzalez@example.com,5416190098,"['Finance', 'NLP', 'Linux', 'IT Support', 'Motion Graphics', 'Ethereum', 'Equity Research', 'Robotics']",M.Tech CS,"['Chennai', 'Bangalore', 'Mumbai']","['Cloud Computing', 'Web Development']",OBC,False,Remote,3
S00029,Edward Griffin,mperez@example.org,6918270421,"['Data Analysis', 'Marketing Research', 'Content Writing']",B.Tech ME,"['Mumbai', 'Delhi', 'Hyderabad', 'Jaipur']",['Finance'],EWS,True,Part-time,7
S00030,Tracy Baker,brownrobert@example.com,8139653129,"['UI/UX', 'NLP', 'Hospitality']",MCA,"['Delhi', 'Bangalore']",['Data Science'],OBC,False,Remote,4
S00031,Diamond Henson,pattersondouglas@example.com,2311399719,"['Interaction Design', 'Branding', 'Animation', 'Documentation', 'Kubernetes']",B.Tech ME,"['Pune', 'Hyderabad']","['IoT', 'AI/ML', 'Web Development']",ST,False,Internship,5
S00032,Gregory Johnson,boothjared@example.net,4829361804,"['HTML', 'Sketch']",B.Tech IT,"['Bangalore', 'Jaipur']",['Cloud Computing'],ST,False,Part-time,16
S00033,Jordan Brown,gavinwagner@example.org,8875696546,"['SQL', 'Sound Engineering', 'Docker', 'Excel', 'Sustainability']",B.Sc Maths,"['Hyderabad', 'Pune', 'Delhi', 'Remote']",['Data Science'],SC,False,Internship,3
S00034,Jane Nelson,robersonkevin@example.net,0255822828,"['React', 'Helpdesk', 'IT Support']",B.Tech IT,"['Remote', 'Hyderabad']",['Finance'],EWS,False,Part-time,0
S00035,Patricia Rivera,zperry@example.net,2282090414,"['Communication', 'Digital Marketing']",M.Tech CS,"['Delhi', 'Jaipur', 'Chennai']","['Cloud Computing', 'Finance', 'Software']",General,False,Remote,26
S00036,Corey Cook,christopher87@example.net,9829297203,"['DevOps', 'Hospitality', 'Python', 'Probability', 'Azure']",B.Tech ME,"['Bangalore', 'Chennai', 'Jaipur']","['UI/UX', 'Web Development', 'Blockchain']",OBC,True,Part-time,8
S00037,Jessica Barker,taylorkimberly@example.net,3173220262,"['Excel', 'Interior Design', 'Smart Contracts', 'UI Design', 'Branding']",B.Tech ME,"['Delhi', 'Pune', 'Lucknow']","['Blockchain', 'IoT']",OBC,True,Remote,19
S00038,Travis Williams,xkelly@example.net,9129018730,"['Cloud Security', 'Actuarial', 'Probability', 'PowerBI', 'Smart Contracts', 'Data Analysis']",B.Tech IT,"['Lucknow', 'Bangalore', 'Jaipur']",['Data Science'],EWS,True,Remote,5
S00039,Laura Burton,nathanlewis@example.org,2420686652,"['Video Production', 'Data Engineering', 'Cloud Security', 'Documentation', 'Node.js']",B.Tech ME,"['Jaipur', 'Pune', 'Delhi']","['Cloud Computing', 'Web Development']",EWS,True,Internship,16
S00040,Kimberly Whitaker,emiller@example.com,6104488095,"['Node.js', 'Data Engineering']",B.Tech IT,"['Remote', 'Jaipur', 'Bangalore', 'Hyderabad']",['Software'],General,False,Internship,14
S00041,Jenny Stevens,monica72@example.org,3151603605,"['Equity Research', 'Tourism', 'Networking']",B.Sc Maths,"['Bangalore', 'Kolkata', 'Remote']",['IoT'],OBC,True,Part-time,34
S00042,Paul Kelly,lisa01@example.com,3606159505,"['UX Research', 'Government Affairs']",B.Tech CSE,"['Mumbai', 'Kolkata']","['Data Science', 'Finance']",EWS,False,Remote,26
S00043,Mike Chavez,elizabeth13@example.com,5294831468,"['Solidity', 'Linux', 'Tableau', 'Equity Research', 'Tourism']",B.Sc Physics,"['Mumbai', 'Chennai', 'Delhi', 'Bangalore']","['IoT', 'Data Science', 'UI/UX']",OBC,True,Remote,30
S00044,Ashley May,omeyer@example.net,6261534187,"['Motion Graphics', 'PowerBI', 'NLP', 'Analytics']",B.Tech IT,"['Remote', 'Lucknow', 'Hyderabad', 'Bangalore']","['UI/UX', 'AI/ML']",General,True,Internship,30
S00045,Chelsey Wright,riceheidi@example.com,1830568139,"['Azure', 'Project Management', 'Animation', 'PowerBI', 'Solidity', 'Data Engineering', 'DevOps', 'Actuarial', 'Accounting']",B.Tech IT,"['Delhi', 'Hyderabad']","['IoT', 'Cloud Computing', 'Data Science']",General,True,Part-time,9
